epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,342.729,1.05264,0.89093,0.90298,0.88379,0.83175,0.88568,0.59185,1.12883,0.54965,0.84569,0.000148525,0.000148525,0.000148525
43,350.906,1.06475,0.89323,0.90591,0.88218,0.8217,0.88132,0.58722,1.11846,0.54913,0.84672,0.00014605,0.00014605,0.00014605
44,359.362,1.06183,0.88876,0.90532,0.87527,0.8244,0.88737,0.59631,1.09192,0.54897,0.84454,0.000143575,0.000143575,0.000143575
45,367.861,1.05657,0.88716,0.90595,0.87418,0.83424,0.88352,0.56675,1.20736,0.55996,0.85264,0.0001411,0.0001411,0.0001411
46,376.362,1.05853,0.88837,0.90378,0.86551,0.84654,0.88711,0.57883,1.17046,0.56421,0.85097,0.000138625,0.000138625,0.000138625
47,384.812,1.05162,0.87395,0.90263,0.86369,0.84283,0.88371,0.57636,1.17749,0.55359,0.85139,0.00013615,0.00013615,0.00013615
48,393.113,1.05785,0.88073,0.90401,0.87593,0.84036,0.88345,0.57903,1.15909,0.55975,0.85143,0.000133675,0.000133675,0.000133675
49,401.753,1.04407,0.87346,0.90203,0.8901,0.82809,0.88392,0.5789,1.1583,0.55478,0.84869,0.0001312,0.0001312,0.0001312
50,410.062,1.04249,0.889,0.90244,0.8664,0.84613,0.88634,0.58409,1.12717,0.54787,0.8452,0.000128725,0.000128725,0.000128725
51,418.545,1.04157,0.86962,0.9032,0.89166,0.83006,0.88867,0.5686,1.22155,0.57053,0.85688,0.00012625,0.00012625,0.00012625
52,426.665,1.04374,0.87561,0.90398,0.88541,0.84462,0.89159,0.59789,1.11516,0.5451,0.84669,0.000123775,0.000123775,0.000123775
53,435.009,1.04264,0.87374,0.90393,0.89165,0.82381,0.88698,0.57251,1.1871,0.56458,0.85317,0.0001213,0.0001213,0.0001213
54,443.246,1.04329,0.87362,0.90154,0.88514,0.83222,0.89087,0.57042,1.25778,0.57237,0.86115,0.000118825,0.000118825,0.000118825
55,451.84,1.04054,0.87772,0.9005,0.88074,0.84202,0.88896,0.56682,1.24132,0.57557,0.85786,0.00011635,0.00011635,0.00011635
56,460.181,1.04656,0.88067,0.90099,0.90055,0.82791,0.88607,0.58178,1.19041,0.55363,0.85484,0.000113875,0.000113875,0.000113875
57,468.774,1.0419,0.87873,0.90372,0.87991,0.83734,0.88783,0.56269,1.23381,0.56922,0.85605,0.0001114,0.0001114,0.0001114
58,477.112,1.04637,0.87812,0.90303,0.89278,0.83192,0.88723,0.53891,1.31173,0.58448,0.86513,0.000108925,0.000108925,0.000108925
59,485.547,1.04746,0.88026,0.9024,0.88805,0.83582,0.88746,0.55986,1.25864,0.56252,0.85991,0.00010645,0.00010645,0.00010645
60,493.954,1.04373,0.87962,0.90107,0.87432,0.84735,0.88842,0.56412,1.2429,0.56093,0.85772,0.000103975,0.000103975,0.000103975
61,502.431,1.03319,0.856,0.8985,0.88528,0.81729,0.88413,0.58596,1.14276,0.54709,0.84862,0.0001015,0.0001015,0.0001015
62,510.788,1.03546,0.86006,0.89943,0.86741,0.84682,0.88758,0.58229,1.18506,0.55734,0.85303,9.9025e-05,9.9025e-05,9.9025e-05
63,519.492,1.04061,0.86807,0.90255,0.88029,0.83148,0.88773,0.57386,1.21404,0.55766,0.85436,9.655e-05,9.655e-05,9.655e-05
64,527.901,1.02506,0.86187,0.89868,0.87852,0.83732,0.89103,0.60489,1.10505,0.53923,0.84535,9.4075e-05,9.4075e-05,9.4075e-05
65,536.288,1.03662,0.86945,0.90015,0.89138,0.83519,0.89075,0.59855,1.13084,0.54218,0.84897,9.16e-05,9.16e-05,9.16e-05
66,544.688,1.03921,0.87052,0.89888,0.88536,0.84422,0.8913,0.58456,1.16758,0.55031,0.85099,8.9125e-05,8.9125e-05,8.9125e-05
67,552.886,1.02901,0.8611,0.90086,0.90285,0.81874,0.88832,0.58564,1.16035,0.54411,0.85075,8.665e-05,8.665e-05,8.665e-05
68,561.457,1.02917,0.86831,0.89881,0.88378,0.84569,0.89049,0.58602,1.17019,0.54743,0.85255,8.4175e-05,8.4175e-05,8.4175e-05
69,569.763,1.02698,0.86194,0.89884,0.88627,0.84202,0.8887,0.5855,1.14959,0.54991,0.84933,8.17e-05,8.17e-05,8.17e-05
70,578.122,1.0278,0.86413,0.90015,0.89161,0.82531,0.88782,0.58568,1.17981,0.54712,0.85218,7.9225e-05,7.9225e-05,7.9225e-05
71,586.666,1.0172,0.86151,0.89872,0.88987,0.82633,0.88916,0.5893,1.14825,0.54121,0.84904,7.675e-05,7.675e-05,7.675e-05
72,595.151,1.02565,0.86003,0.89859,0.88819,0.83411,0.88779,0.57955,1.17629,0.54694,0.85127,7.4275e-05,7.4275e-05,7.4275e-05
73,603.821,1.02553,0.85861,0.89686,0.88391,0.82889,0.88844,0.57287,1.22012,0.55521,0.8551,7.18e-05,7.18e-05,7.18e-05
74,612.081,1.01833,0.85862,0.89896,0.88849,0.84077,0.88819,0.5834,1.18308,0.54732,0.85352,6.9325e-05,6.9325e-05,6.9325e-05
75,620.47,1.02113,0.85875,0.89874,0.89099,0.83341,0.89148,0.59819,1.11903,0.53466,0.84596,6.685e-05,6.685e-05,6.685e-05
76,628.563,1.02107,0.85399,0.89949,0.88546,0.83632,0.88917,0.59585,1.11697,0.53643,0.84534,6.4375e-05,6.4375e-05,6.4375e-05
77,636.793,1.02385,0.848,0.89738,0.87122,0.84432,0.88774,0.57723,1.21946,0.55265,0.85411,6.19e-05,6.19e-05,6.19e-05
78,645.007,1.01514,0.84651,0.89606,0.8799,0.83543,0.88947,0.58622,1.16012,0.54982,0.85074,5.9425e-05,5.9425e-05,5.9425e-05
79,653.417,1.0097,0.84274,0.89569,0.86743,0.85115,0.8894,0.59665,1.12521,0.53459,0.84665,5.695e-05,5.695e-05,5.695e-05
80,661.768,1.0139,0.8483,0.89387,0.89208,0.83447,0.89261,0.5989,1.13499,0.53417,0.84818,5.4475e-05,5.4475e-05,5.4475e-05
81,670.104,1.01521,0.85574,0.89738,0.888,0.84542,0.8956,0.60291,1.12465,0.53107,0.84762,5.2e-05,5.2e-05,5.2e-05
82,678.27,1.02354,0.86476,0.89986,0.86538,0.8574,0.89301,0.60556,1.10403,0.5298,0.84485,4.9525e-05,4.9525e-05,4.9525e-05
83,686.639,1.00954,0.8371,0.8976,0.87694,0.84856,0.89125,0.57643,1.20806,0.55034,0.8542,4.705e-05,4.705e-05,4.705e-05
84,694.942,1.01217,0.84966,0.89764,0.88365,0.84256,0.89231,0.58562,1.18462,0.54658,0.85299,4.4575e-05,4.4575e-05,4.4575e-05
85,703.264,1.00867,0.84939,0.89857,0.88837,0.8451,0.89261,0.59374,1.14031,0.53893,0.84829,4.21e-05,4.21e-05,4.21e-05
86,711.679,1.0141,0.84718,0.89559,0.88513,0.84259,0.89128,0.58933,1.16713,0.54419,0.85171,3.9625e-05,3.9625e-05,3.9625e-05
87,720.467,1.00657,0.84007,0.89829,0.88646,0.84365,0.8926,0.58864,1.1602,0.53636,0.84977,3.715e-05,3.715e-05,3.715e-05
