epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3262.53,0.99466,0.43927,0.92233,0.99006,0.99027,0.99449,0.76125,0.96874,0.37011,0.90132,0.007921,0.007921,0.007921
44,3340.38,0.99502,0.43544,0.9219,0.98972,0.99037,0.99436,0.75896,0.97344,0.36519,0.90134,0.0078715,0.0078715,0.0078715
45,3416.07,0.99509,0.43576,0.92385,0.99197,0.99069,0.99443,0.76526,0.97866,0.3641,0.90183,0.007822,0.007822,0.007822
46,3493.9,0.99579,0.43699,0.92421,0.99305,0.98832,0.99446,0.76337,0.96475,0.36384,0.89769,0.0077725,0.0077725,0.0077725
47,3570.86,0.99359,0.43341,0.92263,0.9929,0.99041,0.99458,0.77137,0.94821,0.36019,0.89614,0.007723,0.007723,0.007723
48,3646.88,0.99437,0.43375,0.92386,0.99028,0.98989,0.99443,0.76489,0.96562,0.36418,0.90025,0.0076735,0.0076735,0.0076735
49,3724.29,0.99544,0.43324,0.92386,0.99249,0.99064,0.99461,0.77656,0.94513,0.35833,0.89397,0.007624,0.007624,0.007624
50,3802.11,0.99437,0.43287,0.92378,0.99249,0.99135,0.99446,0.76886,0.96623,0.36066,0.89698,0.0075745,0.0075745,0.0075745
51,3878.76,0.98929,0.43077,0.92145,0.9916,0.99233,0.99462,0.77137,0.95441,0.35794,0.89669,0.007525,0.007525,0.007525
52,3955.6,0.992,0.43197,0.91805,0.99301,0.99039,0.99448,0.76718,0.96638,0.35759,0.89691,0.0074755,0.0074755,0.0074755
53,4032.74,0.9916,0.43198,0.91727,0.99336,0.99088,0.99447,0.771,0.95072,0.35817,0.89301,0.007426,0.007426,0.007426
54,4109.21,0.98598,0.42996,0.91899,0.99283,0.98979,0.99445,0.77012,0.95847,0.35683,0.89678,0.0073765,0.0073765,0.0073765
55,4188.04,0.98594,0.43203,0.91897,0.99335,0.98938,0.99457,0.77011,0.96124,0.35517,0.89837,0.007327,0.007327,0.007327
56,4263.16,0.98234,0.42737,0.92018,0.99349,0.99093,0.99447,0.76416,0.9762,0.35493,0.89939,0.0072775,0.0072775,0.0072775
57,4333.91,0.98514,0.42764,0.9193,0.99311,0.99215,0.99462,0.77111,0.96008,0.3527,0.89435,0.007228,0.007228,0.007228
58,4406.41,0.98569,0.42572,0.91881,0.9936,0.99041,0.99459,0.76367,0.97052,0.35494,0.89751,0.0071785,0.0071785,0.0071785
59,4479.27,0.98317,0.42556,0.91678,0.99202,0.9925,0.9946,0.77423,0.94951,0.35016,0.89334,0.007129,0.007129,0.007129
60,4551.15,0.98085,0.42584,0.917,0.9927,0.99198,0.99453,0.77609,0.95037,0.34984,0.89319,0.0070795,0.0070795,0.0070795
61,4624.05,0.98333,0.42514,0.91915,0.99181,0.99239,0.99466,0.77766,0.94446,0.34444,0.89451,0.00703,0.00703,0.00703
62,4697.81,0.97751,0.42395,0.92006,0.99197,0.99141,0.99459,0.7647,0.95942,0.34966,0.89601,0.0069805,0.0069805,0.0069805
63,4768.99,0.98329,0.42371,0.91902,0.99353,0.99099,0.99475,0.77624,0.94865,0.34698,0.89483,0.006931,0.006931,0.006931
64,4841.65,0.97909,0.42154,0.91751,0.99267,0.99163,0.99457,0.77545,0.95257,0.34474,0.89666,0.0068815,0.0068815,0.0068815
65,4914.91,0.9812,0.42334,0.91952,0.99129,0.9918,0.9945,0.77259,0.94416,0.34563,0.89416,0.006832,0.006832,0.006832
66,4985.99,0.98353,0.42272,0.9226,0.99423,0.99162,0.9947,0.77597,0.95259,0.34567,0.89557,0.0067825,0.0067825,0.0067825
67,5058.07,0.96887,0.4171,0.91769,0.99336,0.99064,0.99459,0.76669,0.97487,0.34753,0.90013,0.006733,0.006733,0.006733
68,5130.73,0.97531,0.41887,0.91828,0.99308,0.99111,0.99465,0.77756,0.94446,0.34201,0.89456,0.0066835,0.0066835,0.0066835
69,5202.43,0.96936,0.41733,0.91543,0.99165,0.99359,0.9946,0.7788,0.93939,0.34066,0.89302,0.006634,0.006634,0.006634
70,5273.65,0.97769,0.4194,0.9173,0.99349,0.99285,0.99466,0.78022,0.93926,0.33814,0.89317,0.0065845,0.0065845,0.0065845
71,5346.71,0.97293,0.41588,0.9155,0.99337,0.99249,0.99465,0.77988,0.94786,0.33966,0.89389,0.006535,0.006535,0.006535
72,5418.38,0.9723,0.42018,0.91612,0.99304,0.9925,0.99455,0.77867,0.94492,0.34018,0.89268,0.0064855,0.0064855,0.0064855
73,5492.03,0.97219,0.41753,0.91898,0.99389,0.99265,0.99452,0.77283,0.95712,0.34033,0.89573,0.006436,0.006436,0.006436
74,5565.72,0.97189,0.41469,0.91696,0.99257,0.99215,0.99458,0.77899,0.94426,0.33786,0.89353,0.0063865,0.0063865,0.0063865
75,5637.2,0.96975,0.41495,0.91541,0.99341,0.99285,0.99466,0.78037,0.94054,0.3382,0.89312,0.006337,0.006337,0.006337
76,5711.26,0.97117,0.41641,0.92025,0.99292,0.99233,0.99451,0.77684,0.9503,0.34011,0.89556,0.0062875,0.0062875,0.0062875
77,5784.22,0.97417,0.4159,0.91972,0.99366,0.9918,0.9945,0.77629,0.9496,0.33883,0.89518,0.006238,0.006238,0.006238
78,5857.16,0.96912,0.41481,0.91791,0.99337,0.99163,0.99449,0.77626,0.94767,0.33793,0.89437,0.0061885,0.0061885,0.0061885
79,5930.98,0.97453,0.41533,0.92035,0.99354,0.99165,0.9945,0.77861,0.94378,0.33721,0.89519,0.006139,0.006139,0.006139
80,6003.66,0.96836,0.41293,0.91762,0.99354,0.99093,0.99452,0.77873,0.94497,0.33588,0.89488,0.0060895,0.0060895,0.0060895
81,6075.5,0.96642,0.41231,0.91574,0.99285,0.99238,0.9946,0.77958,0.94606,0.33574,0.89456,0.00604,0.00604,0.00604
82,6148.97,0.96809,0.41318,0.91783,0.99256,0.99285,0.99455,0.78083,0.94336,0.33508,0.89401,0.0059905,0.0059905,0.0059905
83,6223.3,0.96757,0.41244,0.91593,0.99147,0.99291,0.99455,0.77921,0.94531,0.33555,0.89421,0.005941,0.005941,0.005941
84,6295.12,0.96024,0.40994,0.91566,0.99211,0.99303,0.99458,0.78072,0.9427,0.33487,0.89348,0.0058915,0.0058915,0.0058915
85,6368.88,0.95935,0.40847,0.914,0.99279,0.9939,0.99458,0.78072,0.94338,0.33378,0.89341,0.005842,0.005842,0.005842
86,6442.13,0.96404,0.41135,0.91548,0.99253,0.99425,0.99454,0.77766,0.95134,0.33459,0.89508,0.0057925,0.0057925,0.0057925
